14,784;-116,0257;0
18,9413;-118,8036;0
30,6083;-101,3427;0
32,687;-102,7317;0
57,6876;-65,3155;0
66,0206;-70,8834;0
89,4872;-75,5512;0
89,4872;-85,5512;0
75,9872;-85,5512;0
75,9872;-87,5512;0
114,9872;-87,5512;0
114,9872;-85,5512;0
101,4872;-85,5512;0
101,4872;-75,5512;0
101,4872;-75,5512;0
124,9538;-70,8834;0
149,9344;-54,1919;0
166,6259;-29,2113;0
172,4872;0,2553;0
166,6259;29,7219;0
149,9344;54,7025;0
124,9538;71,394;0
101,4872;76,0618;0
101,4872;86,0618;0
114,9872;86,0618;0
114,9872;88,0618;0
75,9872;88,0618;0
75,9872;86,0618;0
89,4872;86,0618;0
89,4872;76,0618;0
89,4872;76,0618;0
66,0206;71,394;0
41,04;54,7025;0
24,3485;29,7219;0
18,4872;0,2553;0
24,3485;-29,2113;0
41,04;-54,1919;0
49,3729;-59,7598;0
24,3723;-97,176;0
26,451;-98,5649;0
17,5618;-111,8684;0
4,2583;-102,9793;0
-2,6769;-104,3588;0
-4,8992;-107,6846;0
-11,5509;-103,2401;0
-8,7731;-99,0827;0
-6,6944;-100,4717;0
18,3063;-63,0555;0
-19,1099;-38,0549;0
-13,542;-29,7219;0
-8,8742;-6,2553;0
1,1258;-6,2553;0
1,1258;-19,7553;0
3,1258;-19,7553;0
3,1258;19,2447;0
1,1258;19,2447;0
1,1258;5,7447;0
-8,8742;5,7447;0
-8,8742;5,7447;0
-13,542;29,2113;0
-30,2335;54,1919;0
-55,2141;70,8834;0
-84,6807;76,7447;0
-114,1473;70,8834;0
-139,1279;54,1919;0
-155,8194;29,2113;0
-160,4872;5,7447;0
-170,4872;5,7447;0
-170,4872;19,2447;0
-172,4872;19,2447;0
-172,4872;-19,7553;0
-170,4872;-19,7553;0
-170,4872;-6,2553;0
-160,4872;-6,2553;0
-160,4872;-6,2553;0
-155,8194;-29,7219;0
-139,1279;-54,7025;0
-114,1473;-71,394;0
-84,6807;-77,2553;0
-55,2141;-71,394;0
-30,2335;-54,7025;0
-24,6656;-46,3696;0
4,4359;-65,8145;0
-15,0091;-94,916;0
-12,9304;-96,3049;0
-15,7083;-100,4622;0
-14,3288;-107,3974;0
-7,677;-111,842;0
-0,7418;-110,4625;0
1,4805;-107,1366;0
18,9413;-118,8036;0
